compiler,pmc_mode,workers,trials,packed_median_rmw_per_second,isolated_median_rmw_per_second,median_paired_ratio,pmc_status
gcc,off,1,5,529025178.0011016,530241305.39470685,0.968723292408249,NOT_REQUESTED
gcc,off,2,5,254008063.07954955,977680626.7402104,3.849014141074817,NOT_REQUESTED
gcc,off,4,5,161829837.15613708,1949125485.8682554,12.338275308517327,NOT_REQUESTED
gcc,off,8,5,184851212.95830664,1913539492.6565769,10.538294635268741,NOT_REQUESTED
gcc,count,1,5,540391275.7070885,570827017.6080726,1.0589243592498272,UNSUPPORTED_EVENT
gcc,count,2,5,291380045.8282536,1017349367.437597,3.6427954355813097,UNSUPPORTED_EVENT
gcc,count,4,5,178540169.69475406,1900368433.930128,10.643926446239766,UNSUPPORTED_EVENT
gcc,count,8,5,194587560.62241673,2043840689.3629384,11.213015529459662,UNSUPPORTED_EVENT
clang,off,1,5,549883930.49995,559223377.4161665,1.0155546734860563,NOT_REQUESTED
clang,off,2,5,240331927.23133776,1055449518.060641,4.17968253630228,NOT_REQUESTED
clang,off,4,5,213546086.73699635,2048161703.1857312,9.443654447925367,NOT_REQUESTED
clang,off,8,5,174936595.21508265,2039559396.0232365,11.42945525551612,NOT_REQUESTED
clang,count,1,5,530102506.98198014,544536555.8280659,1.0191498640640286,UNSUPPORTED_EVENT
clang,count,2,5,260044221.03987628,1047915078.6386912,3.9444704157278685,UNSUPPORTED_EVENT
clang,count,4,5,215732427.50163457,1986650897.9562726,9.013654350954198,UNSUPPORTED_EVENT
clang,count,8,5,220246006.19933042,1883215852.8357205,9.100217868073706,UNSUPPORTED_EVENT
