compiler,cell,axis,runtime,mode,P,C,payload_bytes,capacity,trials,messages_each,arrival,hold_ns,checksum,median_messages_per_second,min_messages_per_second,max_messages_per_second,median_GB_per_second,min_GB_per_second,max_GB_per_second,median_trial_native_latency_p50_ns,median_trial_native_latency_p99_ns,median_trial_native_latency_p99_9_ns,median_trial_native_latency_max_ns,median_trial_offered_latency_p50_ns,median_trial_offered_latency_p99_ns,median_trial_offered_latency_p99_9_ns,median_trial_offered_latency_max_ns,median_trial_returned_latency_p50_ns,median_trial_returned_latency_p99_ns,median_trial_returned_latency_p99_9_ns,median_trial_returned_latency_max_ns
gcc,spsc-closed-small,arrival,native_c,spsc,1,1,64,32,3,20000,0,0,0,2918221.2274330305,1815254.4728097117,2931825.671300124,0.18676615855571396,0.11617628625982154,0.18763684296320793,130,215,275,19178,175,246,315,19359,185,265,376,44736
gcc,ncq-pop-1-1,population,native_c,ncq,1,1,64,32,3,20000,1,0,0,4676338.894279668,4416176.011111099,4832709.712417527,0.29928568923389876,0.28263526471111033,0.30929342159472173,1767,5463,21487,45903,1807,5502,21546,45933,1867,5563,21587,46003
gcc,ncq-pop-2-2,population,native_c,ncq,2,2,64,32,3,20000,1,0,0,6379044.074729226,4765721.8781900555,6381083.405864981,0.40825882078267045,0.3050062002041635,0.4083893379753588,4666,6675,27161,126228,4702,6715,27210,126268,4827,6805,27275,126348
gcc,ncq-pop-4-4,population,native_c,ncq,4,4,64,32,3,20000,1,0,0,2266809.8686020994,375678.44945181656,4329182.368971884,0.14507583159053436,0.02404342076491626,0.2770676716142006,346,6124,39263,194294,390,6160,39303,194324,506,6220,39409,1122787
gcc,ncq-pop-8-8,population,native_c,ncq,8,8,64,32,3,20000,1,0,0,1262875.3297051766,1016329.4155358858,2208566.4107085434,0.08082402110113131,0.0650450825942967,0.14134825028534678,2354,12419,21697,182046,2394,12484,21737,182096,2519,13736,22458,182137
gcc,ncq-pop-16-1,population,native_c,ncq,16,1,64,32,3,20000,1,0,0,8170.837484687329,7875.025825507349,8533.514201963306,0.000522933599019989,0.0005040016528324703,0.0005461449089256516,13250,16031727,35997319,1775967086,13290,16031767,35997359,1775967126,13460,16031977,35997689,1775967286
gcc,ncq-pop-1-16,population,native_c,ncq,1,16,64,32,3,20000,1,0,0,471536.8120301489,360065.56721965957,501190.82941067975,0.030178355969929533,0.02304419630205821,0.032076213082283506,6695,15989,28417,16023865,6735,16069,28457,16023895,7427,17240,29949,16030655
gcc,ncq-pop-16-16,population,native_c,ncq,16,16,64,32,3,20000,1,0,0,1004495.3678951729,842010.4616431817,1152410.8925647084,0.06428770354529106,0.05388866954516363,0.07375429712414133,7366,19424,92367,161060,7401,19464,92407,161100,7982,20335,92607,161270
gcc,ncq-closed-small,arrival,native_c,ncq,1,1,64,32,3,20000,0,0,0,763110.0688214632,738940.7631462457,775859.5039472434,0.04883904440457364,0.04729220884135973,0.049655008252623575,631,941,16234,210753,671,972,16274,210793,861,1242,19038,299847
gcc,spsc-saturation-small,population,native_c,spsc,1,1,64,32,3,20000,1,0,0,3697705.204150304,3482028.12120731,3807008.2834789734,0.23665313306561947,0.22284979975726782,0.2436485301426543,891,8203,207289,208080,922,8252,207329,208120,942,8263,207459,208140
gcc,ncq-fixed-rate,arrival,native_c,ncq,1,1,64,32,3,2048,2,0,0,99933.25746603416,99931.23384382027,99944.61077479034,0.0063957284778261864,0.006395598966004497,0.006396455089586582,266,21878,41758,51482,320,128474,216531,226301,361,22228,41848,51673
gcc,ncq-bursts,arrival,native_c,ncq,1,1,64,32,3,2048,3,0,0,101453.8867068212,101403.82906404068,101460.93340392663,0.006493048749236557,0.006489845060098603,0.006493499737851304,527,29519,29930,29980,3937,31454,34509,34849,627,29619,30020,30070
gcc,spsc-retained,retention,native_c,spsc,1,1,64,2,3,1024,1,100000,0,9630.791657375634,8121.01679095563,9775.992861386712,0.0006163706660720405,0.0005197450746211603,0.0006256635431287496,200323,361384,1040735,1731522,200363,361414,1040765,1731562,300472,481812,1140924,1831821
gcc,spsc-crc64,integrity,native_c,spsc,1,1,4096,32,3,1024,1,0,1,32150.21080836713,32083.53851602167,32453.1905511268,0.13168726347107176,0.13141417376162476,0.13292826849741537,58131,181976,214324,278220,58171,182006,214364,278300,58181,182026,214434,278280
gcc,spsc-helper-c-1m,runtime,native_c,spsc,1,1,1048576,8,3,1024,1,0,0,2302.5109851416246,2277.6149547521763,2326.4924534287443,2.4143577587558642,2.388252378794218,2.439504150846499,470776,803632,1375012,4025597,470846,803672,1375052,4025637,470986,803952,1375312,4026038
gcc,spsc-python-1m,runtime,python_helper,spsc,1,1,1048576,8,3,1024,1,0,0,11657.982437454384,9496.30715137772,13061.614005785019,12.224280592336168,9.957599767563044,13.696094967730033,95527,652892,899003,1309504,95737,653112,902258,1309825,101767,659912,905573,1318337
gcc,spsc-python-bytecode,runtime,python_bytecode,spsc,1,1,64,32,3,512,0,0,0,24233.127992282505,17701.27140764797,25386.11814669636,0.0015509201915060804,0.0011328813700894702,0.0016247115613885672,28152,95202,169191,169191,28352,95392,169362,169362,32428,101631,175721,175721
gcc,spsc-python-retained-gc,runtime,python_gc,spsc,1,1,64,32,3,256,1,100000,0,418.4563918502806,316.17264398748597,427.50189564527096,2.678120907841796e-05,2.0235049215199104e-05,2.7360121321297344e-05,37854122,74271485,93843597,93843597,37854383,74271675,93843777,93843777,37942153,117582089,127953005,127953005
gcc,spsc-llc-candidate,pool_size,native_c,spsc,1,1,67108864,2,3,16,1,0,0,266.94526854527174,259.940869950608,270.8608750878351,17.91439372224812,17.44433648955704,18.177165629190515,6970505,8151853,8151853,8151853,6970545,8152023,8152023,8152023,6971687,8152684,8152684,8152684
gcc,ncq-retained,retention,native_c,ncq,1,1,64,2,3,1024,1,100000,0,9504.33985885777,9478.47443546683,9748.944031797857,0.0006082777509668972,0.0006066223638698771,0.0006239324180350628,201214,387431,923239,970709,201254,387472,923279,970749,301629,547620,1023609,1071149
gcc,ncq-crc64,integrity,native_c,ncq,1,1,4096,32,3,1024,1,0,1,30567.66968623899,12412.724244833616,32363.539640784937,0.12520517503483491,0.05084251850683849,0.13256105836865512,83644,567344,585892,587234,83684,567384,585922,587274,83844,567534,586082,587574
gcc,ncq-helper-c-1m,runtime,native_c,ncq,1,1,1048576,8,3,1024,1,0,0,2326.104288082619,2296.9441018262955,2363.541126190324,2.43909712998052,2.40852045851661,2.478352499936145,463034,798202,1400159,1692404,463174,798242,1400189,1692444,463424,798703,1400640,1693335
gcc,ncq-python-1m,runtime,python_helper,ncq,1,1,1048576,8,3,1024,1,0,0,2217.4022355420584,2091.8500168950595,13868.89403994301,2.3251147665357492,2.193463723315754,14.542589436827283,484511,796836,1519727,1719715,484701,797206,1520028,1720045,491983,804988,1527288,1734427
gcc,ncq-python-bytecode,runtime,python_bytecode,ncq,1,1,64,32,3,512,0,0,0,25734.71221127676,23526.285017634604,26038.750339342892,0.0016470215815217125,0.0015056822411286146,0.0016664800217179453,28047,117130,288486,288486,28238,117320,288666,288666,32443,123780,296468,296468
gcc,ncq-python-retained-gc,runtime,python_gc,ncq,1,1,64,32,3,256,1,100000,0,373.0412616101588,342.0385177938798,384.6968072898446,2.3874640743050166e-05,2.1890465138808308e-05,2.4620595666550056e-05,40409981,88964689,102250279,102250279,40410252,88964869,102250459,102250459,40538623,130213695,156460446,156460446
gcc,ncq-llc-candidate,pool_size,native_c,ncq,1,1,67108864,2,3,16,1,0,0,254.62515858572084,249.9277357382838,259.527329363214,17.087605138507573,16.77236642748843,17.416584250519136,6893871,7640427,7640427,7640427,6894031,7640608,7640608,7640608,6895723,7643361,7643361,7643361
gcc,ncq-l2-candidate,pool_size,native_c,ncq,1,1,4096,1024,3,4096,1,0,0,1796922.3318050427,1619853.3273432506,2988528.8937335745,7.360193871073455,6.634919228797955,12.24101434873272,812,3525,22518,30891,852,3565,22558,30941,912,3616,22648,30991
gcc,ncq-yield-requests,os_faults,native_c,ncq,4,4,64,32,3,4096,1,0,0,54052.072468099184,34177.378575538096,259225.77311745193,0.0034593326379583475,0.002187352228834438,0.016590449479516923,2098,1411877,3995947,9409925,2138,1411917,3995987,9409966,2534,1412157,3996258,9410245
gcc,python-asymmetric-1-16,population,python_helper,ncq,1,16,64,32,3,512,1,0,0,10487.417260269163,9917.84710193631,12145.274082898375,0.0006711947046572264,0.0006347422145239239,0.000777297541305496,19845,124906,16101921,16101921,20025,125086,16102092,16102092,24652,129673,16122021,16122021
gcc,python-asymmetric-16-1,population,python_helper,ncq,16,1,64,32,3,512,1,0,0,6691.644361947854,6663.582417133049,7070.477469895923,0.0004282652391646627,0.00042646927469651517,0.0004525105580733391,475588,24426721,60444886,60444886,475768,24428153,60445267,60445267,482428,24431058,60449653,60449653
