compiler,case,scenario,mode,trial,checked_messages,worker_processes,signals_sent,basis,successor_all_attached_ns,successor_first_validated_read_ns,old_ready,old_unavailable_orphans
gcc,write_claim_ncq_1p1c_t000,write_claim,2,0,20000,7,1,terminal_notification,1684887,1754079,0,1
gcc,write_reserved_ncq_1p1c_t000,write_reserved,2,0,20000,7,1,terminal_notification,1596616,1669754,0,1
gcc,write_committed_ncq_1p1c_t000,write_committed,2,0,20000,7,1,terminal_notification,1888477,1951259,0,1
gcc,write_published_ncq_1p1c_t000,write_published,2,0,20000,7,1,terminal_notification,1720989,1764864,0,0
gcc,read_claim_ncq_1p1c_t000,read_claim,2,0,20000,7,1,terminal_notification,1581353,1718355,0,1
gcc,read_returning_ncq_1p1c_t000,read_returning,2,0,20000,7,1,terminal_notification,1855438,1926102,0,1
gcc,read_returned_ncq_1p1c_t000,read_returned,2,0,20000,7,1,terminal_notification,1617486,1690414,0,0
gcc,late_publication_ncq_1p1c_t000,late_publication,2,0,20000,7,1,false_suspicion,3026896,3099333,1,0
gcc,write_partial_ncq_1p1c_t000,write_partial,2,0,20000,7,1,terminal_notification,1714390,1781920,0,1
gcc,read_held_ncq_1p1c_t000,read_held,2,0,20000,7,1,terminal_notification,1728891,1801408,0,1
gcc,resume_write_ncq_1p1c_t000,resume_write,2,0,20000,7,1,false_suspicion,2664862,2717770,0,1
gcc,resume_read_ncq_1p1c_t000,resume_read,2,0,20000,7,1,false_suspicion,4066419,4135571,0,1
gcc,async_resume_write_ncq_1p1c_t000,async_resume_write,2,0,1012491,7,1,false_suspicion,63126061,63194452,0,4
gcc,write_partial_spsc_1p1c_t000,write_partial,1,0,10000,4,1,terminal_notification,1582370,1743748,0,0
gcc,read_held_spsc_1p1c_t000,read_held,1,0,10000,4,1,terminal_notification,1243936,1284525,0,0
gcc,resume_write_spsc_1p1c_t000,resume_write,1,0,10000,4,1,false_suspicion,1294180,1333077,0,0
gcc,resume_read_spsc_1p1c_t000,resume_read,1,0,10000,4,1,false_suspicion,1691451,1803536,0,0
gcc,random_abort_kill_ncq_1p1c_t000,random_abort_kill,2,0,20000,7,1,terminal_notification,1703714,1767839,0,0
gcc,storm_spsc_1p1c_t000,storm,1,0,32000,2,24,,,,0,0
gcc,storm_ncq_1p1c_t000,storm,2,0,32000,2,24,,,,0,0
gcc,storm_ncq_4p4c_t000,storm,2,0,32000,8,36,,,,0,0
gcc,storm_ncq_16p1c_t000,storm,2,0,32000,17,134,,,,0,0
gcc,storm_ncq_1p16c_t000,storm,2,0,32000,17,174,,,,0,0
gcc,storm_ncq_16p16c_t000,storm,2,0,32000,32,402,,,,0,0
